year;Keyword;TRIM;lower;stemmed;final
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
1994;;;;;
